isbn,title,author,category,description,image,price,stock
6781553847313,A Midsummer Night's Dream,William Shakespeare,Fiction,A fantastic book by William Shakespeare.,https://covers.openlibrary.org/b/id/7205924-L.jpg,17.89,20
5906610579221,Great Expectations,Charles Dickens,Fiction,A fantastic book by Charles Dickens.,https://covers.openlibrary.org/b/id/13322313-L.jpg,14.16,13
3531531466388,A Study in Scarlet,Arthur Conan Doyle,Fiction,A fantastic book by Arthur Conan Doyle.,https://covers.openlibrary.org/b/id/13405534-L.jpg,22.3,46
4648539963223,The Prince,Niccolò Machiavelli,Fiction,A fantastic book by Niccolò Machiavelli.,https://covers.openlibrary.org/b/id/12726168-L.jpg,26.28,20
4423581283858,Through the Looking-Glass,Lewis Carroll,Fiction,A fantastic book by Lewis Carroll.,https://covers.openlibrary.org/b/id/11272464-L.jpg,25.07,25
3822992949840,The Wind in the Willows,Kenneth Grahame,Fiction,A fantastic book by Kenneth Grahame.,https://covers.openlibrary.org/b/id/13335427-L.jpg,18.54,33
5054931610182,La Divina Commedia,Dante Alighieri,Fiction,A fantastic book by Dante Alighieri.,https://covers.openlibrary.org/b/id/11621024-L.jpg,13.63,20
8372889984147,Анна Каренина,Лев Толстой,Fiction,A fantastic book by Лев Толстой.,https://covers.openlibrary.org/b/id/2560652-L.jpg,13.31,25
1662355474129,The Hound of the Baskervilles,Arthur Conan Doyle,Fiction,A fantastic book by Arthur Conan Doyle.,https://covers.openlibrary.org/b/id/8063264-L.jpg,25.17,9
1284998108888,Anne of Green Gables,Lucy Maud Montgomery,Fiction,A fantastic book by Lucy Maud Montgomery.,https://covers.openlibrary.org/b/id/14641084-L.jpg,28.61,18
6309191981560,Persuasion,Jane Austen,Fiction,A fantastic book by Jane Austen.,https://covers.openlibrary.org/b/id/12824691-L.jpg,29.06,26
4997791141186,Julius Caesar,William Shakespeare,Fiction,A fantastic book by William Shakespeare.,https://covers.openlibrary.org/b/id/7901303-L.jpg,21.75,32
7830938168688,The Great Gatsby,F. Scott Fitzgerald,Fiction,A fantastic book by F. Scott Fitzgerald.,https://covers.openlibrary.org/b/id/10590366-L.jpg,11.98,27
5297206438047,Преступление и наказание,Фёдор Михайлович Достоевский,Fiction,A fantastic book by Фёдор Михайлович Достоевский.,https://covers.openlibrary.org/b/id/9411873-L.jpg,28.25,47
6798488438151,Jane Eyre,Charlotte Brontë,Fiction,A fantastic book by Charlotte Brontë.,https://covers.openlibrary.org/b/id/8235363-L.jpg,25.85,15
2174152034537,The Time Machine,H. G. Wells,Fiction,A fantastic book by H. G. Wells.,https://covers.openlibrary.org/b/id/9009316-L.jpg,20.03,49
3333355340898,Walden,Henry David Thoreau,Fiction,A fantastic book by Henry David Thoreau.,https://covers.openlibrary.org/b/id/11248037-L.jpg,26.29,7
9348563307290,Three Men in a Boat (to say nothing of the dog),Jerome Klapka Jérôme,Fiction,A fantastic book by Jerome Klapka Jérôme.,https://covers.openlibrary.org/b/id/8243006-L.jpg,17.78,15
8411139988901,The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,Fiction,A fantastic book by Arthur Conan Doyle.,https://covers.openlibrary.org/b/id/6717853-L.jpg,20.7,40
9772561896417,Moby Dick,Herman Melville,Fiction,A fantastic book by Herman Melville.,https://covers.openlibrary.org/b/id/10544254-L.jpg,27.97,25
9571786892259,Moll Flanders,Daniel Defoe,Fiction,A fantastic book by Daniel Defoe.,https://covers.openlibrary.org/b/id/12997559-L.jpg,22.25,49
4551221825871,Mansfield Park,Jane Austen,Fiction,A fantastic book by Jane Austen.,https://covers.openlibrary.org/b/id/14618737-L.jpg,15.53,10
6136405721222,The Man Who Was Thursday,Gilbert Keith Chesterton,Fiction,A fantastic book by Gilbert Keith Chesterton.,https://covers.openlibrary.org/b/id/8242857-L.jpg,14.93,27
5964514587441,Les Trois Mousquetaires,Alexandre Dumas,Fiction,A fantastic book by Alexandre Dumas.,https://covers.openlibrary.org/b/id/11929973-L.jpg,25.78,46
9753336054079,King Solomon's Mines,H. Rider Haggard,Fiction,A fantastic book by H. Rider Haggard.,https://covers.openlibrary.org/b/id/8665393-L.jpg,22.24,46
7131373357497,The Mysterious Affair at Styles,Agatha Christie,Fiction,A fantastic book by Agatha Christie.,https://covers.openlibrary.org/b/id/13699667-L.jpg,13.5,18
2714663828826,Ἰλιάς,Όμηρος,Fiction,A fantastic book by Όμηρος.,https://covers.openlibrary.org/b/id/7083790-L.jpg,25.71,36
4623261040412,Candide,Voltaire,Fiction,A fantastic book by Voltaire.,https://covers.openlibrary.org/b/id/12736044-L.jpg,20.43,19
9507514070123,Ὀδύσσεια,Όμηρος,Fiction,A fantastic book by Όμηρος.,https://covers.openlibrary.org/b/id/9045853-L.jpg,23.62,8
6771685852133,Hard Times,Charles Dickens,Fiction,A fantastic book by Charles Dickens.,https://covers.openlibrary.org/b/id/8236916-L.jpg,10.74,48
4172566630324,The Legend of Sleepy Hollow,Washington Irving,Fiction,A fantastic book by Washington Irving.,https://covers.openlibrary.org/b/id/8243083-L.jpg,10.77,27
6839330028850,Northanger Abbey,Jane Austen,Fiction,A fantastic book by Jane Austen.,https://covers.openlibrary.org/b/id/12567961-L.jpg,12.77,38
4201252795171,Ethan Frome,Edith Wharton,Fiction,A fantastic book by Edith Wharton.,https://covers.openlibrary.org/b/id/8303480-L.jpg,11.65,15
4133553524819,Dubliners,James Joyce,Fiction,A fantastic book by James Joyce.,https://covers.openlibrary.org/b/id/8216412-L.jpg,14.95,20
2165796984780,Troilus and Cressida,William Shakespeare,Fiction,A fantastic book by William Shakespeare.,https://covers.openlibrary.org/b/id/8789523-L.jpg,29.6,13
2402640563111,Captains Courageous,Rudyard Kipling,Fiction,A fantastic book by Rudyard Kipling.,https://covers.openlibrary.org/b/id/12819857-L.jpg,28.84,41
3184784290599,The Railway Children,Edith Nesbit,Fiction,A fantastic book by Edith Nesbit.,https://covers.openlibrary.org/b/id/13241123-L.jpg,25.87,21
5463919564905,Romeo and Juliet,William Shakespeare,Fiction,A fantastic book by William Shakespeare.,https://covers.openlibrary.org/b/id/8257991-L.jpg,18.33,8
5863455440311,The Moonstone,Wilkie Collins,Fiction,A fantastic book by Wilkie Collins.,https://covers.openlibrary.org/b/id/8237041-L.jpg,24.5,22
6075769404282,The Sign of Four,Arthur Conan Doyle,Fiction,A fantastic book by Arthur Conan Doyle.,https://covers.openlibrary.org/b/id/9247987-L.jpg,11.54,32
2486219826264,Metamorphosis,Franz Kafka,Fiction,A fantastic book by Franz Kafka.,https://covers.openlibrary.org/b/id/12820198-L.jpg,19.84,24
1373855410176,Five Children and It,Edith Nesbit,Fiction,A fantastic book by Edith Nesbit.,https://covers.openlibrary.org/b/id/28174-L.jpg,26.95,9
5258069932518,Antony and Cleopatra,William Shakespeare,Fiction,A fantastic book by William Shakespeare.,https://covers.openlibrary.org/b/id/8222096-L.jpg,13.56,7
9041069171650,Kim,Rudyard Kipling,Fiction,A fantastic book by Rudyard Kipling.,https://covers.openlibrary.org/b/id/1053011-L.jpg,22.45,44
1087411130925,The Thirty-Nine Steps,John Buchan,Fiction,A fantastic book by John Buchan.,https://covers.openlibrary.org/b/id/93020-L.jpg,25.07,22
7305327045907,The Adventures of Tom Sawyer,Mark Twain,Fiction,A fantastic book by Mark Twain.,https://covers.openlibrary.org/b/id/12043351-L.jpg,20.47,38
9026681237999,The Last of the Mohicans,James Fenimore Cooper,Fiction,A fantastic book by James Fenimore Cooper.,https://covers.openlibrary.org/b/id/8236937-L.jpg,10.97,13
8164760679543,The Innocence of Father Brown (Father Brown Mystery),Gilbert Keith Chesterton,Fiction,A fantastic book by Gilbert Keith Chesterton.,https://covers.openlibrary.org/b/id/94081-L.jpg,22.93,42
2735895209271,David Copperfield,Charles Dickens,Fiction,A fantastic book by Charles Dickens.,https://covers.openlibrary.org/b/id/1048892-L.jpg,12.87,29
9924090819424,King Richard II,William Shakespeare,Fiction,A fantastic book by William Shakespeare.,https://covers.openlibrary.org/b/id/9069548-L.jpg,15.92,34
7641794351931,Записки изъ подполья,Фёдор Михайлович Достоевский,Fiction,A fantastic book by Фёдор Михайлович Достоевский.,https://covers.openlibrary.org/b/id/10445973-L.jpg,20.29,46
3632367522900,My Ántonia,Willa Cather,Fiction,A fantastic book by Willa Cather.,https://covers.openlibrary.org/b/id/8369013-L.jpg,22.11,44
3870646043081,The Old Curiosity Shop,Charles Dickens,Fiction,A fantastic book by Charles Dickens.,https://covers.openlibrary.org/b/id/13119794-L.jpg,15.34,17
3039465600782,Anne's House of Dreams,Lucy Maud Montgomery,Fiction,A fantastic book by Lucy Maud Montgomery.,https://covers.openlibrary.org/b/id/14640440-L.jpg,24.66,48
3290654792722,All's Well That Ends Well,William Shakespeare,Fiction,A fantastic book by William Shakespeare.,https://covers.openlibrary.org/b/id/7338455-L.jpg,23.9,36
2611870073486,The Merchant of Venice,William Shakespeare,Fiction,A fantastic book by William Shakespeare.,https://covers.openlibrary.org/b/id/7182819-L.jpg,22.81,48
5853308058425,Anne of Avonlea,Lucy Maud Montgomery,Fiction,A fantastic book by Lucy Maud Montgomery.,https://covers.openlibrary.org/b/id/14638062-L.jpg,27.73,44
6856273574709,Othello,William Shakespeare,Fiction,A fantastic book by William Shakespeare.,https://covers.openlibrary.org/b/id/7165018-L.jpg,29.01,7
7125603261216,The Tempest,William Shakespeare,Fiction,A fantastic book by William Shakespeare.,https://covers.openlibrary.org/b/id/8155661-L.jpg,11.52,44
1516603280804,The Secret Adversary,Agatha Christie,Fiction,A fantastic book by Agatha Christie.,https://covers.openlibrary.org/b/id/14590159-L.jpg,20.68,19
8059753373013,πολιτεία,Πλάτων,Fiction,A fantastic book by Πλάτων.,https://covers.openlibrary.org/b/id/14418448-L.jpg,15.48,50
7340891499309,A Connecticut Yankee in King Arthur's Court,Mark Twain,Fiction,A fantastic book by Mark Twain.,https://covers.openlibrary.org/b/id/9168732-L.jpg,26.89,19
6121855796216,Der Proceß,Franz Kafka,Fiction,A fantastic book by Franz Kafka.,https://covers.openlibrary.org/b/id/997423-L.jpg,10.43,15
7023554662530,Anne of the Island,Lucy Maud Montgomery,Fiction,A fantastic book by Lucy Maud Montgomery.,https://covers.openlibrary.org/b/id/14639028-L.jpg,13.1,6
1474061897347,Coriolanus,William Shakespeare,Fiction,A fantastic book by William Shakespeare.,https://covers.openlibrary.org/b/id/8222112-L.jpg,11.29,5
9455339117482,The Cricket on the Hearth,Charles Dickens,Fiction,A fantastic book by Charles Dickens.,https://covers.openlibrary.org/b/id/9284868-L.jpg,19.12,21
9787032131852,Two Gentlemen of Verona,William Shakespeare,Fiction,A fantastic book by William Shakespeare.,https://covers.openlibrary.org/b/id/8791306-L.jpg,28.39,24
7390924520071,A Portrait of the Artist as a Young Man,James Joyce,Fiction,A fantastic book by James Joyce.,https://covers.openlibrary.org/b/id/9328410-L.jpg,10.23,22
9420394375485,The Mill on the Floss,George Eliot,Fiction,A fantastic book by George Eliot.,https://covers.openlibrary.org/b/id/8236884-L.jpg,27.44,33
7640515436555,Richard III,William Shakespeare,Fiction,A fantastic book by William Shakespeare.,https://covers.openlibrary.org/b/id/9020720-L.jpg,10.13,13
2478924703423,The Valley of Fear,Arthur Conan Doyle,Fiction,A fantastic book by Arthur Conan Doyle.,https://covers.openlibrary.org/b/id/8350377-L.jpg,24.23,25
4502604934039,The Prince and the Pauper,Mark Twain,Fiction,A fantastic book by Mark Twain.,https://covers.openlibrary.org/b/id/8221267-L.jpg,11.76,23
4482820921695,Leaves of Grass,Walt Whitman,Fiction,A fantastic book by Walt Whitman.,https://covers.openlibrary.org/b/id/9000447-L.jpg,19.41,49
8759748334856,"Henry IV, Part 1",William Shakespeare,Fiction,A fantastic book by William Shakespeare.,https://covers.openlibrary.org/b/id/116833-L.jpg,14.91,8
6022275325654,The Princess and the Goblin,George MacDonald,Fiction,A fantastic book by George MacDonald.,https://covers.openlibrary.org/b/id/14363454-L.jpg,27.59,31
8631748309697,Tess of the d'Urbervilles,Thomas Hardy,Fiction,A fantastic book by Thomas Hardy.,https://covers.openlibrary.org/b/id/13109386-L.jpg,21.1,50
4544678094884,The Lost World,Arthur Conan Doyle,Fiction,A fantastic book by Arthur Conan Doyle.,https://covers.openlibrary.org/b/id/8231444-L.jpg,21.19,10
4874629724754,Dracula,Bram Stoker,Fiction,A fantastic book by Bram Stoker.,https://covers.openlibrary.org/b/id/12216503-L.jpg,16.66,12
8078376269311,Le Comte de Monte Cristo,Alexandre Dumas,Fiction,A fantastic book by Alexandre Dumas.,https://covers.openlibrary.org/b/id/14566393-L.jpg,16.17,10
9832762124537,The Marvelous Land of Oz,L. Frank Baum,Fiction,A fantastic book by L. Frank Baum.,https://covers.openlibrary.org/b/id/12648656-L.jpg,23.43,49
8321749205202,The Canterbury Tales,Geoffrey Chaucer,Fiction,A fantastic book by Geoffrey Chaucer.,https://covers.openlibrary.org/b/id/5767180-L.jpg,13.55,46
5112631681412,Brave New World,Aldous Huxley,Fiction,A fantastic book by Aldous Huxley.,https://covers.openlibrary.org/b/id/8231823-L.jpg,10.15,45
6158973171813,The Yellow Wallpaper,Charlotte Perkins Gilman,Fiction,A fantastic book by Charlotte Perkins Gilman.,https://covers.openlibrary.org/b/id/652029-L.jpg,24.02,34
4043398182506,Aeneis,Publius Vergilius Maro,Fiction,A fantastic book by Publius Vergilius Maro.,https://covers.openlibrary.org/b/id/5273998-L.jpg,16.29,36
5949212078701,The Comedy of Errors,William Shakespeare,Fiction,A fantastic book by William Shakespeare.,https://covers.openlibrary.org/b/id/5561040-L.jpg,26.84,15
3611886916229,Riders of the Purple Sage,Zane Grey,Fiction,A fantastic book by Zane Grey.,https://covers.openlibrary.org/b/id/872066-L.jpg,16.53,34
8137657347014,The Book of Dragons,Edith Nesbit,Fiction,A fantastic book by Edith Nesbit.,https://covers.openlibrary.org/b/id/4342323-L.jpg,10.66,48
1266432259285,Decamerone,Giovanni Boccaccio,Fiction,A fantastic book by Giovanni Boccaccio.,https://covers.openlibrary.org/b/id/6073528-L.jpg,16.0,30
7740895996336,The House of Mirth,Edith Wharton,Fiction,A fantastic book by Edith Wharton.,https://covers.openlibrary.org/b/id/9329539-L.jpg,16.61,10
4070984452321,A Room with a View,E. M. Forster,Fiction,A fantastic book by E. M. Forster.,https://covers.openlibrary.org/b/id/1748132-L.jpg,22.28,14
1152179721264,Le petit prince,Antoine de Saint-Exupéry,Fiction,A fantastic book by Antoine de Saint-Exupéry.,https://covers.openlibrary.org/b/id/10708272-L.jpg,19.12,25
2900697995982,Uncle Tom's Cabin,Harriet Beecher Stowe,Fiction,A fantastic book by Harriet Beecher Stowe.,https://covers.openlibrary.org/b/id/12728198-L.jpg,14.74,45
3892470782958,"Twelfth Night, or What You Will",William Shakespeare,Fiction,A fantastic book by William Shakespeare.,https://covers.openlibrary.org/b/id/9119932-L.jpg,11.53,24
7239780276722,The Pilgrim's Progress,John Bunyan,Fiction,A fantastic book by John Bunyan.,https://covers.openlibrary.org/b/id/8229224-L.jpg,24.62,41
2728234171966,The Autobiography of Benjamin Franklin,Benjamin Franklin,Fiction,A fantastic book by Benjamin Franklin.,https://covers.openlibrary.org/b/id/5647361-L.jpg,24.18,26
2628097809628,The Mayor of Casterbridge,Thomas Hardy,Fiction,A fantastic book by Thomas Hardy.,https://covers.openlibrary.org/b/id/1260617-L.jpg,22.0,8
8317697359767,The Jungle,Upton Sinclair,Fiction,A fantastic book by Upton Sinclair.,https://covers.openlibrary.org/b/id/8231790-L.jpg,24.09,36
8645549286418,Rainbow Valley,Lucy Maud Montgomery,Fiction,A fantastic book by Lucy Maud Montgomery.,https://covers.openlibrary.org/b/id/14641168-L.jpg,16.08,28
3764495604287,As a man thinketh,James Allen,Fiction,A fantastic book by James Allen.,https://covers.openlibrary.org/b/id/6268048-L.jpg,28.43,36
4972005017901,The Jewel of Seven Stars,Bram Stoker,Fiction,A fantastic book by Bram Stoker.,https://covers.openlibrary.org/b/id/2760301-L.jpg,21.25,16
5317683549198,The Story of the Treasure Seekers,Edith Nesbit,Fiction,A fantastic book by Edith Nesbit.,https://covers.openlibrary.org/b/id/13241364-L.jpg,24.7,29
7889037122505,The Woman in White,Wilkie Collins,Fiction,A fantastic book by Wilkie Collins.,https://covers.openlibrary.org/b/id/4684227-L.jpg,19.99,26
5120073486782,Animal Farm,George Orwell,Fiction,A fantastic book by George Orwell.,https://covers.openlibrary.org/b/id/11261770-L.jpg,17.59,27
4239947069875,Tao te Ching,老子,Fiction,A fantastic book by 老子.,https://covers.openlibrary.org/b/id/662232-L.jpg,19.42,38
3561940523623,The Battle of Life,Charles Dickens,Fiction,A fantastic book by Charles Dickens.,https://covers.openlibrary.org/b/id/9285597-L.jpg,21.48,18
5841425513489,Sonnets,William Shakespeare,Fiction,A fantastic book by William Shakespeare.,https://covers.openlibrary.org/b/id/8222090-L.jpg,21.19,24
4224629419304,The Man Who Knew Too Much,Gilbert Keith Chesterton,Fiction,A fantastic book by Gilbert Keith Chesterton.,https://covers.openlibrary.org/b/id/12897858-L.jpg,28.89,50
9249675645086,War and Peace,Лев Толстой,Fiction,A fantastic book by Лев Толстой.,https://covers.openlibrary.org/b/id/12621906-L.jpg,25.51,28
5218198042927,The Red Badge of Courage,Stephen Crane,Fiction,A fantastic book by Stephen Crane.,https://covers.openlibrary.org/b/id/8236915-L.jpg,10.48,15
1364518889932,Du côté de chez Swann,Marcel Proust,Fiction,A fantastic book by Marcel Proust.,https://covers.openlibrary.org/b/id/11967344-L.jpg,15.47,25
7137916257807,The Emerald City of Oz,L. Frank Baum,Fiction,A fantastic book by L. Frank Baum.,https://covers.openlibrary.org/b/id/1473556-L.jpg,21.11,14
9378160011834,Faust,Johann Wolfgang von Goethe,Fiction,A fantastic book by Johann Wolfgang von Goethe.,https://covers.openlibrary.org/b/id/6499459-L.jpg,15.18,6
1222179374989,Silas Marner,George Eliot,Fiction,A fantastic book by George Eliot.,https://covers.openlibrary.org/b/id/9286405-L.jpg,22.88,13
3353288068555,Herland,Charlotte Perkins Gilman,Fiction,A fantastic book by Charlotte Perkins Gilman.,https://covers.openlibrary.org/b/id/448130-L.jpg,24.17,27
3182301267214,The Prisoner of Zenda,Anthony Hope,Fiction,A fantastic book by Anthony Hope.,https://covers.openlibrary.org/b/id/105814-L.jpg,19.35,29
8042429101348,Dorothy and the Wizard in Oz,L. Frank Baum,Fiction,A fantastic book by L. Frank Baum.,https://covers.openlibrary.org/b/id/12648659-L.jpg,11.79,25
9179195904652,Agnes Grey,Anne Brontë,Fiction,A fantastic book by Anne Brontë.,https://covers.openlibrary.org/b/id/8242924-L.jpg,12.17,37
2494919713240,O Pioneers!,Willa Cather,Fiction,A fantastic book by Willa Cather.,https://covers.openlibrary.org/b/id/8242999-L.jpg,15.1,40
4889372798908,Ulysses,James Joyce,Fiction,A fantastic book by James Joyce.,https://covers.openlibrary.org/b/id/13136548-L.jpg,23.28,5
9623185420239,The Second Jungle Book,Rudyard Kipling,Fiction,A fantastic book by Rudyard Kipling.,https://covers.openlibrary.org/b/id/2140514-L.jpg,27.6,22
6813962432396,Goldsmith's The vicar of Wakefield,Oliver Goldsmith,Fiction,A fantastic book by Oliver Goldsmith.,https://covers.openlibrary.org/b/id/6720851-L.jpg,21.59,47
7874009477336,Lady Susan,Jane Austen,Fiction,A fantastic book by Jane Austen.,https://covers.openlibrary.org/b/id/12641526-L.jpg,19.77,11
6734050988698,The mystery of Edwin Drood,Charles Dickens,Fiction,A fantastic book by Charles Dickens.,https://covers.openlibrary.org/b/id/8243336-L.jpg,18.7,11
8406724016431,Jo's Boys,Louisa May Alcott,Fiction,A fantastic book by Louisa May Alcott.,https://covers.openlibrary.org/b/id/13166184-L.jpg,21.16,12
5521735785405,The Iron Heel,Jack London,Fiction,A fantastic book by Jack London.,https://covers.openlibrary.org/b/id/8243314-L.jpg,16.22,37
1387628204087,Eight cousins,Louisa May Alcott,Fiction,A fantastic book by Louisa May Alcott.,https://covers.openlibrary.org/b/id/8143360-L.jpg,13.64,46
4460030307026,The Lost Princess of Oz,L. Frank Baum,Fiction,A fantastic book by L. Frank Baum.,https://covers.openlibrary.org/b/id/854819-L.jpg,29.69,13
8678928163000,The Scarlet Pimpernel,Emma Orczy,Fiction,A fantastic book by Emma Orczy.,https://covers.openlibrary.org/b/id/479102-L.jpg,27.99,39
6885796023477,Flatland,Edwin Abbott Abbott,Fiction,A fantastic book by Edwin Abbott Abbott.,https://covers.openlibrary.org/b/id/10069547-L.jpg,26.66,29
5717849277548,His Last Bow [8 stories],Arthur Conan Doyle,Fiction,A fantastic book by Arthur Conan Doyle.,https://covers.openlibrary.org/b/id/8243267-L.jpg,11.47,47
2067057167500,The Castle of Otranto,Horace Walpole,Fiction,A fantastic book by Horace Walpole.,https://covers.openlibrary.org/b/id/6468730-L.jpg,17.6,11
2941655198600,The Story of the Amulet,Edith Nesbit,Fiction,A fantastic book by Edith Nesbit.,https://covers.openlibrary.org/b/id/13241470-L.jpg,26.31,12
4688694701321,Carmilla,Sheridan Le Fanu,Fiction,A fantastic book by Sheridan Le Fanu.,https://covers.openlibrary.org/b/id/973851-L.jpg,23.83,22
5906240151763,The Blithedale Romance,Nathaniel Hawthorne,Fiction,A fantastic book by Nathaniel Hawthorne.,https://covers.openlibrary.org/b/id/8245179-L.jpg,10.07,36
7771289698725,Women in Love,D. H. Lawrence,Fiction,A fantastic book by D. H. Lawrence.,https://covers.openlibrary.org/b/id/13140934-L.jpg,21.62,8
2945731720002,The Turn of the Screw,Henry James,Fiction,A fantastic book by Henry James.,https://covers.openlibrary.org/b/id/181493-L.jpg,23.07,16
1364174637586,The Invisible Man,H. G. Wells,Fiction,A fantastic book by H. G. Wells.,https://covers.openlibrary.org/b/id/6419199-L.jpg,11.14,8
4150519910905,The Complete Life and Adventures of Santa Claus,L. Frank Baum,Fiction,A fantastic book by L. Frank Baum.,https://covers.openlibrary.org/b/id/1979059-L.jpg,28.09,29
2145917068730,King Henry VIII,William Shakespeare,Fiction,A fantastic book by William Shakespeare.,https://covers.openlibrary.org/b/id/7897086-L.jpg,29.97,21
7673988345668,Ab urbe condita,Titus Livius,Fiction,A fantastic book by Titus Livius.,https://covers.openlibrary.org/b/id/6657951-L.jpg,10.76,43
5999134173140,The Tenant of Wildfell Hall,Anne Brontë,Fiction,A fantastic book by Anne Brontë.,https://covers.openlibrary.org/b/id/1023552-L.jpg,25.56,49
9907747541490,Lorna Doone,R. D. Blackmore,Fiction,A fantastic book by R. D. Blackmore.,https://covers.openlibrary.org/b/id/11673413-L.jpg,18.15,32
5983124190036,La chartreuse de Parme,Stendhal,Fiction,A fantastic book by Stendhal.,https://covers.openlibrary.org/b/id/104382-L.jpg,23.71,40
4027238034159,Pollyanna,Eleanor Hodgman Porter,Fiction,A fantastic book by Eleanor Hodgman Porter.,https://covers.openlibrary.org/b/id/902113-L.jpg,10.51,16
8378198121729,Heart of Darkness,Joseph Conrad,Fiction,A fantastic book by Joseph Conrad.,https://covers.openlibrary.org/b/id/12307847-L.jpg,14.59,6
4717838574228,Also sprach Zarathustra,Friedrich Nietzsche,Fiction,A fantastic book by Friedrich Nietzsche.,https://covers.openlibrary.org/b/id/1017466-L.jpg,10.58,39
9204088730630,The Return of Sherlock Holmes,Arthur Conan Doyle,Fiction,A fantastic book by Arthur Conan Doyle.,https://covers.openlibrary.org/b/id/9246467-L.jpg,10.41,12
6526539149002,Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,Fiction,A fantastic book by Lewis Carroll.,https://covers.openlibrary.org/b/id/8595966-L.jpg,12.84,14
3910915431169,Adam Bede,George Eliot,Fiction,A fantastic book by George Eliot.,https://covers.openlibrary.org/b/id/6379692-L.jpg,13.49,16
